epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
47,3181.27,0.53241,0.52923,0.39119,0.00437,0.2862,0.89549,0.90886,0.94767,0.893,0.8902,0.89657,0.93518,0.83331,0.32809,0.39285,0.2853,0.00521,0,0.000876305,0.000876305,0.000876305
48,3247.91,0.54023,0.55292,0.39224,0.00445,0.26708,0.87041,0.9144,0.94271,0.88381,0.85884,0.90756,0.93143,0.81629,0.34492,0.49865,0.30826,0.00547,0,0.000871117,0.000871117,0.000871117
49,3313.95,0.53125,0.53235,0.3745,0.00428,0.2763,0.8803,0.91284,0.93613,0.86824,0.87052,0.90631,0.92304,0.80212,0.34294,0.50158,0.31395,0.0054,0,0.000865839,0.000865839,0.000865839
50,3380.73,0.55249,0.53038,0.40389,0.00454,0.29511,0.92207,0.89205,0.94142,0.87834,0.91485,0.87908,0.92323,0.81147,0.35857,0.50133,0.30001,0.00587,0,0.000860473,0.000860473,0.000860473
51,3446.48,0.54085,0.51648,0.37901,0.00429,0.27886,0.91855,0.90854,0.94745,0.88299,0.90958,0.90019,0.93839,0.8085,0.33944,0.60193,0.26561,0.00526,0,0.000855018,0.000855018,0.000855018
52,3511.84,0.53706,0.5582,0.39335,0.00431,0.27843,0.8991,0.92744,0.93803,0.87673,0.88888,0.91594,0.92688,0.81542,0.32871,0.50834,0.30179,0.00519,0,0.000849477,0.000849477,0.000849477
53,3577.96,0.53771,0.55437,0.39075,0.00448,0.2528,0.89986,0.91627,0.94642,0.88427,0.89326,0.8973,0.93502,0.82344,0.35602,0.52837,0.28877,0.00567,0,0.000843851,0.000843851,0.000843851
54,3644.81,0.52456,0.51038,0.36571,0.00423,0.24593,0.87729,0.93202,0.94651,0.88262,0.86712,0.92107,0.93278,0.82857,0.34203,0.50584,0.28999,0.00547,0,0.000838141,0.000838141,0.000838141
55,3711.77,0.51981,0.52691,0.36726,0.00416,0.24882,0.92031,0.91736,0.9465,0.88918,0.90998,0.90354,0.93381,0.81809,0.31236,0.51197,0.28654,0.0048,0,0.000832349,0.000832349,0.000832349
56,3777.11,0.51793,0.53748,0.37206,0.00424,0.26978,0.89316,0.92492,0.946,0.87581,0.88498,0.91654,0.93434,0.82799,0.37695,0.50574,0.29381,0.00665,0,0.000826477,0.000826477,0.000826477
57,3842.33,0.52521,0.52586,0.37842,0.00446,0.30497,0.89924,0.8967,0.93958,0.87147,0.88635,0.8852,0.92605,0.80791,0.35323,0.59288,0.30689,0.00599,0,0.000820525,0.000820525,0.000820525
